location,sublocation,rhtc_rhdc,plot no,nearest town,status,constituency,blood tr,off_landline,off_fax,off_postcode,fp,off_mob,outp,off_town,anc,imci,off_email,tb_treat,growth,ceoc,division,tb_labs,district,inp,off_pobox,facility,cots,province,in charge name,art,beoc,hbc,tb_diag,hct,c section,imm,beds,mflcode,pmtct,radiology,owner,type,youth,latitude,longitude
Kiamiogo,Kienine,N,855,Kibirichia Market,Operational,CENTRAL IMENTI,,,,,Y,0717-769332,Y,Kibirichia,Y,N,mohkibirichiasdh@gmail.com,Y,Y,N,Kibirichia Division,Y,Imenti Central,N,P.O. Box 4,Kibirichia Sub-district Hospital,2,Eastern,Mr. Alexander Muriithi,N,N,N,Y,Y,N,Y,12,12282,Y,N,Ministry of Health,Primary Hospital,y,,
Katheri East,Kinjo South,N,2B,Kinjo,Operational,CENTRAL IMENTI,,,,,N,,Y,Meru,N,N,,N,N,N,Abothuguchi West,N,Imenti Central,N,P.O. Box 1413,Kinjo Medical Clinic,,Eastern,Jeniffer Muthoni Muriithi,N,N,N,N,N,N,N,,16846,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Kirigara,Kirigara,,,Kirigara Market,Not-Operational,CENTRAL IMENTI,,,,,,,,,,,,,,,Abothuguchi Central,,Imenti Central,,,Kirigara (MCK) Dispensary,,Eastern,,,,,,,,,,16840,,,Christian Health Association of Kenya,Dispensary,,,
Marathi,Gakurueni,N,1024,Githongo Market,Operational,CENTRAL IMENTI,,,,,N,,Y,Githongo,N,N,,N,N,N,Abothuguchi West,N,Imenti Central,N,P.O. Box 1024,Kirimara Medical Clinic,,Eastern,Beatrice Karuki Ngeera,N,N,N,N,N,N,N,,16842,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Katheri West,Kathiranga Central,N,16,Kithaku Market,Operational,CENTRAL IMENTI,,,,,N,,Y,Meru,N,N,,N,N,N,Abothuguchi West,N,Imenti Central,N,P.O. Box 752,Kithaku Medical Clinic,,Eastern,Salome Kathure Limuri,N,N,N,N,N,N,N,,16849,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Kiamiogo,Mburungiti,N,,Machaka Market,Operational,CENTRAL IMENTI,,,,,N,0725-869201,Y,Kibirichia,Y,N,,Y,Y,N,Kibirichia Division,Y,Imenti Central,N,P.O. Box 209,Machaka Mission Dispensary,0,Eastern,Mr Gitonga,N,N,N,Y,Y,N,Y,0,12437,N,N,Kenya Episcopal Conference-Catholic Secretariat,Dispensary,N,,
Makandune,Matetu,N,,Gacibine Market,Operational,CENTRAL IMENTI,,,,,Y,,Y,Chogoria,Y,N,,N,Y,N,Kiagu,N,Imenti Central,N,P.O. Box 35,Makandune Dispensary,0,Eastern,,N,N,N,N,N,N,Y,0,12451,N,N,Kenya Episcopal Conference-Catholic Secretariat,Dispensary,N,,
Ntugi,,N,,Ntugi,Operational,CENTRAL IMENTI,,,,,N,,Y,,N,N,,N,N,N,Kibirichia Division,N,Imenti Central,N,,Mitethia Medical Clinic,,Eastern,Mercy Muruga Kiogora,N,N,N,N,N,N,N,,16830,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Kiija,Gitiye,N,,Mujwa Market,Operational,CENTRAL IMENTI,,,,,N,0712-246923,Y,Nkubu,Y,N,,N,Y,N,Abothuguchi East,Y,Imenti Central,N,P.O. Box 81 ,Mujwa Dispensary,0,Eastern,Sis. Serina Tirindi Muthuru,N,N,N,Y,N,N,Y,0,12557,N,N,Kenya Episcopal Conference-Catholic Secretariat,Dispensary,N,,
Katheri West,Kathiranga Central,N,2,Kithaku Market,Operational,CENTRAL IMENTI,,,,,N,,Y,Meru,N,N,,N,N,N,Abothuguchi West,N,Imenti Central,N,P.O. Box 1320,Mutethia Medical Clinic (Imenti Central),,Eastern,,N,N,N,N,N,N,N,,16848,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Kithirune,Kagoji,N,21,Kithirune Market,Operational,CENTRAL IMENTI,,,,,N,,Y,Meru,N,N,,N,N,N,Abothuguchi West,N,Imenti Central,N,P.O. Box 1672,Neki Medical Clinic,,Eastern,Nelsion Kiura Eustace,N,N,N,N,N,N,N,,16850,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Gaitu ,Gaitu ,,,Njuthine,Not-Operational,CENTRAL IMENTI,,,,,,,,Meru,,,,,,,Abothuguchi East,,Imenti Central,,P.O. Box 591,Njuthine Dispensary,,Eastern,,,,,,,,,,16835,,,Ministry of Health,Dispensary,,,
Kirigara,Nkuene,,,Nkuene Market,Not-Operational,CENTRAL IMENTI,,,,,,,,,,,,,,,Abothuguchi Central,,Imenti Central,,,Nkuene (ACK) Dispensary,,Eastern,,,,,,,,,,16841,,,Christian Health Association of Kenya,Dispensary,,,
Kiamiogo,Kienine,N,43,Kibirichia Market,Operational,CENTRAL IMENTI,,,,,N,,Y,Kibirichia,N,N,,N,N,N,Kibirichia Division,N,Imenti Central,N,P.O. Box 149,Right Choice Clinic,,Eastern,Julieta Ngutiku,N,N,N,N,N,N,N,,16826,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Kirigara,Gatimbi,N,,Gatimbi Market,Operational,CENTRAL IMENTI,,,,,N,,Y,,N,N,,N,N,N,Abothuguchi Central,N,Imenti Central,N,,Royal Clinic & Laboratory,,Eastern,Mr. Muriungi Mbaya,N,N,N,N,N,N,N,,16836,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Kiamiogo,Kienine,N,1420,Kibirichia Market,Operational,CENTRAL IMENTI,,,,,N,,Y,Kibirichia,N,N,,N,N,N,Kibirichia Division,N,Imenti Central,N,P.O. Box 192,Royal Medical Clinic (Imenti Central),,Eastern,Jane Karuga Mbui,N,N,N,N,N,N,N,,16823,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Kirigara,Ruiga,,,Gatimbi Market,Not-Operational,CENTRAL IMENTI,,,,,,,,,,,,,,,Abothuguchi Central,,Imenti Central,,,Ruiga (MCK) Dispensary,,Eastern,,,,,,,,,,16839,,,Christian Health Association of Kenya,Dispensary,,,
Gaitu ,Gaitu ,N,32,Chaaria Market,Operational,CENTRAL IMENTI,,,,60201,N,,Y,Meru,N,N,,N,N,N,Abothuguchi East,N,Imenti Central,N,P.O. Box 2176,Sinai Medical Clinic,,Eastern,,N,N,N,N,N,N,N,,16834,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Kariene,Gitauga,N,647,Kariene Market,Operational,CENTRAL IMENTI,,,,60200,N,0725-395581,Y,Meru,Y,N,,N,Y,N,Abothuguchi Central,Y,Imenti Central,N,P.O. Box 220,St Anne Kariene Dispensary,0,Eastern,Sis. Joan Nyoroka,N,N,y,Y,N,N,Y,0,12744,N,N,Kenya Episcopal Conference-Catholic Secretariat,Dispensary,N,,
Kariene,Mariene,N,799,Mariene Market,Operational,CENTRAL IMENTI,,,,,Y,0723-420359,Y,,N,N,,N,N,N,Abothuguchi Central,N,Imenti Central,N,,St John Marieni Dispensary,0,Eastern,Mr. Muga,N,N,N,N,N,N,N,0,12510,N,N,Christian Health Association of Kenya,Dispensary,N,,
Mwangathia,Kiamuri,N,,Kiamuri Market,Operational,CENTRAL IMENTI,,,,60200,N,0722-925119,Y,Meru,Y,N,,Y,Y,N,Kiagu,Y,Imenti Central,Y,P.O. Box 220,St Lukes Cottage Hospital,1,Eastern,Sis. Theresa,N,N,N,Y,Y,N,Y,23,12759,Y,N,Kenya Episcopal Conference-Catholic Secretariat,Other Hospital,y,,
Kariene,Gitauga,N,1547,Kariene Market,Operational,CENTRAL IMENTI,,,,,Y,0720-367948,Y,Nkubu,Y,N,,N,Y,N,Abothuguchi Central,N,Imenti Central,N,P.O. Box 435,St Marks Dispensary (Kariene),0,Eastern,Mary R. Mbobua,N,N,N,N,N,N,Y,0,12761,N,N,Christian Health Association of Kenya,Dispensary,N,,
Marathi,Gakurueni,N,167,Githongo Market,Operational,CENTRAL IMENTI,,,,,N,0724-564913,Y,,Y,N,,Y,Y,N,Abothuguchi West,Y,Imenti Central,N,P.O. Box 2572,St Theresas Riiji Health Centre,0,Eastern,Sr. Neoline Nakakeeto,N,N,N,Y,Y,N,Y,7,12775,Y,N,Kenya Episcopal Conference-Catholic Secretariat,Health Centre,N,,
Kiamiogo,Kiandugui,N,,Kibirichia Market,Operational,CENTRAL IMENTI,,,,,Y,,Y,,Y,N,,N,N,N,Abothuguchi West,N,Imenti Central,N,,Sunrise Medical Clinic,0,Eastern,,N,N,N,N,N,N,N,0,12778,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Kiamiogo,Kienine,N,762,Kibirichia Market,Operational,CENTRAL IMENTI,,,,,N,,Y,Meru,N,N,,N,N,N,Kibirichia Division,N,Imenti Central,N,P.O. Box 1261,Twins Bell Clinic,,Eastern,Wilson Muriithi,N,N,N,N,N,N,N,,16828,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
,,,,,Unknown,UNKNOWN,,,,,,,,,,,,,,,Timau,,Imenti North,,,Afya Medical clinic,,Eastern,,,,,,,,,,16556,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/181,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Almed Health Products,,Eastern,,,,,,,,,,16557,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/130,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Boddu Pharmacy Ltd,,Eastern,,,,,,,,,,16558,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/208,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Buuri Chemist / Laboratory,,Eastern,,,,,,,,,,16559,,,Private Medical Enterprise,Medical Clinic - Other,,,
Chugu,Chung'Ari,N,426,Meru,Operational,NORTH IMENTI,,,,60200,Y,,Y,Meru,N,N,,Y,N,N,Miriga Mieru East,N,Imenti North,N,P.O. Box 8,Chugu Dispensary,0,Eastern,Agnes Makandi,N,N,N,N,N,N,N,,11971,N,N,Ministry of Health,Dispensary,Y,,
,,,B11/144,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Daktari Wa Dawa Chemist,,Eastern,,,,,,,,,,16560,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,,,Unknown,UNKNOWN,,,,,,,,,,,,,,,Timau,,Imenti North,,,Diploma Clinic,,Eastern,,,,,,,,,,16561,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/148'B',Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Dorjos Health Services,,Eastern,,,,,,,,,,16562,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/148,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Dorjos Laboratory,,Eastern,,,,,,,,,,16563,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/80,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Dr. Kiomes clinic,,Eastern,,,,,,,,,,16564,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/29,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Dr. Ngatia's Clinic,,Eastern,,,,,,,,,,16565,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/173,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Eastend Chemist,,Eastern,,,,,,,,,,16566,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/130,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Eastern Consultans Laboratory,,Eastern,,,,,,,,,,16567,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/130,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Eastern Medical Consultants,,Eastern,,,,,,,,,,16568,,,Private Medical Enterprise,Medical Clinic - Other,,,
Ngusishi,,N,,Meru,Operational,NORTH IMENTI,,,,60200,Y,,Y,Meru,N,N,,N,N,N,Timau,N,Imenti North,N,P.O. Box 8,Embori Farm Clinic,0,Eastern,Janet Mwikumi,N,N,N,N,N,N,N,0,12003,N,N,Private Medical Enterprise,Dispensary,N,,
Kisima,Buuri,N,,Meru,Operational,NORTH IMENTI,,,,60200,Y,,Y,Meru,Y,N,,Y,N,N,Timau,N,Imenti North,N,P.O. Box 8,Ex Lewa Dispensary,0,Eastern,Lucy Kimathi,N,Y,Y,N,N,N,N,0,12006,Y,N,Ministry of Health,Dispensary,N,,
Municipality,Township,N,,Meru,Operational,NORTH IMENTI,,064-32280,,60200,Y,,Y,Meru,Y,N,,N,Y,N,Miriga Mieru West,N,Imenti North,N,P.O. Box 768,Family CMC Medical Clinic,0,Eastern,Timothy N. Wachira,N,Y,N,N,Y,N,Y,0,12015,Y,N,Non-Governmental Organizations,Medical Clinic - Other,Y,,
Ruiri,Kamutune,,48/9,Meru,Operational,NORTH IMENTI,,,,60200,,0728-619910,,Meru,,,,,,,Buuri,,Imenti North,,P.O. Box 698,Filhia Medical Clinic,,Eastern,,,,,,,,,,16569,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,N,,Meru,Operational,NORTH IMENTI,,,,60200,N,,Y,Meru,N,N,,N,N,N,Miriga Mieru West,N,Imenti North,N,,Fr Meru Dispensary,0,Eastern,Pamela Kanorio,N,N,N,N,N,N,N,0,12020,N,N,Kenya Episcopal Conference-Catholic Secretariat,Dispensary,N,,
Municipality,Gakoromone,N,,Meru,Operational,NORTH IMENTI,,,,60200,Y,,Y,Meru,Y,N,,Y,N,N,Miriga Mieru West,N,Imenti North,N,P.O. Box 8,Gakoromone Dispensary,0,Eastern,Joanina K. Kithinji,N,Y,N,N,Y,N,N,0,12027,Y,N,Ministry of Health,Dispensary,Y,,
,,,1884,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Gakoromone Medical Clinic,,Eastern,,,,,,,,,,16570,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/14,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,General Medical Clinic,,Eastern,,,,,,,,,,16571,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/14,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,General Medical Laboratory,,Eastern,,,,,,,,,,16572,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,1325,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Generation Medical Clinic/Lab,,Eastern,,,,,,,,,,16573,,,Private Medical Enterprise,Medical Clinic - Other,,,
Naari,Kiirua,,,Meru,Operational,NORTH IMENTI,,,,60200,,0724-889021,,Meru,,,,,,,Buuri,,Imenti North,,P.O. Box 1982,Genesis Clinic (Imenti North),,Eastern,,,,,,,,,,16574,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,N,21 Giaki,,Operational,NORTH IMENTI,,,,,N,,Y,,N,N,,N,N,N,Miriga Mieru East,N,Imenti North,N,,Giaki Clinic,0,Eastern,,N,N,N,N,N,N,N,0,16223,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Giaki,Giaki,N,,Meru,Operational,NORTH IMENTI,,,,60200,Y,,Y,Meru,Y,Y,,Y,Y,N,Miriga Mieru East,N,Imenti North,N,P.O. Box 8,Giaki Sub-District Hospital,0,Eastern,Julia Murira,N,Y,N,N,Y,N,Y,8,12036,Y,N,Ministry of Health,Primary Hospital,Y,,
Ntima,Upper Igoki,N,,Meru,Operational,NORTH IMENTI,,064-32538,,60200,Y,,Y,Meru,N,N,,Y,N,N,Miriga Mieru West,Y,Imenti North,N,P.O. Box 129,Gitoro Dispensary,0,Eastern,,N,N,Y,Y,Y,N,N,0,12044,N,N,Christian Health Association of Kenya,Dispensary,N,,
Ntima,Tuntu,N,,Meru,Operational,NORTH IMENTI,,,,60200,Y,,Y,Meru,N,N,,Y,N,N,Miriga Mieru West,Y,Imenti North,N,P.O. Box 8,GK Prison Dispensary (Meru),0,Eastern,Stephen Kireria,N,Y,N,Y,Y,N,N,0,12049,N,N,Ministry of Health,Dispensary,N,,
Ruiri,Kamutune,,23,Meru,Operational,NORTH IMENTI,,,,60200,,0724-821948,,Meru,,,,,,,Buuri,,Imenti North,,P.O. Box 1684,Huduma Medical Clinic,,Eastern,,,,,,,,,,16575,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,2713 Kinoru,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Huruma Medical Centre,,Eastern,,,,,,,,,,16576,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/155,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Ideal Health Laboratory,,Eastern,,,,,,,,,,16577,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/152,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Ideal Medical /FP Clinic,,Eastern,,,,,,,,,,16578,,,Private Medical Enterprise,Medical Clinic - Other,,,
Igoki,Lower Igoki,N,,Meru,Operational,NORTH IMENTI,,,,60200,Y,,Y,Meru,N,N,,Y,N,N,Miriga Mieru West,N,Imenti North,N,P.O. Box 8,Igoki Dispensary,0,Eastern,Monica Muriuki,N,N,N,N,Y,N,N,0,12071,N,N,Ministry of Health,Dispensary,N,,
Kiirua,Kiirua,,,Meru,Operational,NORTH IMENTI,,,,60200,,0720-477767,,Meru,,,,,,,Buuri,,Imenti North,,P.O. Box 76,Imani Medical Clinic,,Eastern,,,,,,,,,,16579,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/27,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Imenti Health Care Chemist,,Eastern,,,,,,,,,,16580,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/180,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Imenti X-ray Services,,Eastern,,,,,,,,,,16581,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/143,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Interlink Chemist,,Eastern,,,,,,,,,,16582,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/144,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Interlink Medical Supplies ,,Eastern,,,,,,,,,,16583,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/132,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Jade Wasafiri Pharmacy,,Eastern,,,,,,,,,,16584,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,T624,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Jamii Medical Clinic (Meru),,Eastern,,,,,,,,,,16585,,,Private Medical Enterprise,Medical Clinic - Other,,,
Thuura,Thuura,N,44,Meru,Operational,NORTH IMENTI,,,,,N,0720-275028,Y,,N,N,,N,N,N,Miriga Mieru East,N,Imenti North,N,,Joska Medical Care,0,Eastern,,N,N,N,N,N,N,N,0,16586,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Thuura,Thuura,N,44,Meru,Operational,NORTH IMENTI,,,,,N,0720-275028,Y,,N,N,,N,N,N,Miriga Mieru East,N,Imenti North,N,,Joska Medical Care Clinic,0,Eastern,,N,N,N,N,N,N,N,0,16227,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Chugu,Kithoka,N,2289,Meru,Operational,NORTH IMENTI,,,,,N,0721-968648,Y,,N,N,,N,N,N,Miriga Mieru East,N,Imenti North,N,,Kaithe Medical Clinic,0,Eastern,,N,N,N,N,N,N,N,0,16225,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Munithu,Kaithe,N,1577,Meru,Operational,NORTH IMENTI,,,,,N,,Y,,N,N,,N,N,N,Miriga Mieru East,N,Imenti North,N,,Kaithe Stage  Medcare,0,Eastern,,N,N,N,N,N,N,N,0,16587,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Munithu,Kaithe,N,1577,Meru,Operational,NORTH IMENTI,,,,,N,,Y,,N,N,,N,N,N,Miriga Mieru East,N,Imenti North,N,,Kaithe Stage Medcare Clinic,0,Eastern,,N,N,N,N,N,N,N,0,16224,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
,,,B11/186,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Kamuti Clinic,,Eastern,,,,,,,,,,16588,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,288MKT,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Kanini Chemist,,Eastern,,,,,,,,,,16589,,,Private Medical Enterprise,Medical Clinic - Other,,,
Munithu,Kirimene,N,1023,Meru,Operational,NORTH IMENTI,,,,60200,Y,0733-274813,Y,Meru,Y,N,,Y,Y,N,Miriga Mieru East,Y,Imenti North,N,P.O. Box 8,Kathithi Dispensary,0,Eastern,Julius Mutiga,N,Y,N,N,N,N,Y,0,12234,Y,N,Ministry of Health,Dispensary,Y,,
Kiburine,Mbirikene,N,,Meru,Operational,NORTH IMENTI,,,,60200,Y,,Y,Meru,Y,N,,Y,Y,N,Miriga Mieru East,N,Imenti North,N,P.O. Box 8,Kiburine Dispensary,0,Eastern,Stephen Thaimuta,N,N,N,N,N,N,Y,0,12290,Y,N,Ministry of Health,Dispensary,Y,,
Kiirua,Kiirua,Y,,Meru,Operational,NORTH IMENTI,,,,60200,Y,,Y,Meru,Y,Y,,Y,Y,N,Buuri,Y,Imenti North,Y,P.O. Box 1982,Kiirua GOK Dispensary,0,Eastern,Elizabeth Mutwiri,N,N,N,Y,Y,N,Y,0,12302,Y,N,Ministry of Health,Dispensary,Y,,
,,,B11/96,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Kim's Intergrated Clinic,,Eastern,,,,,,,,,,16590,,,Private Medical Enterprise,Medical Clinic - Other,,,
Ntima,Tuntu,N,,Meru,Operational,NORTH IMENTI,,,,60200,Y,,Y,Meru,N,N,,N,Y,N,Miriga Mieru West,N,Imenti North,N,P.O. Box 8,Kinoru Dispensary,0,Eastern,Charles Mwongera,N,N,N,N,Y,N,Y,0,12326,N,N,Ministry of Health,Dispensary,N,,
,,,301,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Kiramburune Medical Clinic,,Eastern,,,,,,,,,,16591,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,14nNtakira,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Kirogine Medical Clinic,,Eastern,,,,,,,,,,16592,,,Private Medical Enterprise,Medical Clinic - Other,,,
Chugu,Kithoka,N,B.O.M,Meru,Operational,NORTH IMENTI,,,,,N,0720-088052,Y,,N,N,,N,N,N,Miriga Mieru East,N,Imenti North,N,,Kithoka Outreach Clinic,0,Eastern,,N,N,N,N,N,N,N,0,16226,N,N,Private Medical Enterprise,Medical Clinic - Other,N,,
Kisima,,N,,Meru,Operational,NORTH IMENTI,,,,,Y,,Y,Isiolo,Y,N,clinic@lewa.org,N,Y,N,Timau,Y,Imenti North,N,P.O. Private Bag,Lewa Downs Dispensary,0,Eastern,Agnes W. Mugo,N,Y,N,Y,Y,N,Y,0,12426,Y,N,Private Medical Enterprise,Dispensary,N,,
,,,839 N/Igoki,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Lily Clinic,,Eastern,,,,,,,,,,16593,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,788,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Makutano Medical Clinic/Lab,,Eastern,,,,,,,,,,16594,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/168,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Marble Clinic,,Eastern,,,,,,,,,,16595,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/168,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Marble Medical Laboratory,,Eastern,,,,,,,,,,16596,,,Private Medical Enterprise,Medical Clinic - Other,,,
Ntima,Tuntu,N,,Meru,Operational,NORTH IMENTI,,064-30748,,60200,Y,,Y,Meru,Y,N,,N,Y,N,Miriga Mieru West,N,Imenti North,N,P.O. Box 2469,Marie Stopes Clinic (Imenti North),0,Eastern,,N,Y,N,N,Y,N,Y,0,12471,Y,N,Non-Governmental Organizations,Medical Clinic - Other,Y,,
,,,B11/181,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,,,Imenti North,,,Mayo Medical Clinic ,,Eastern,,,,,,,,,,16597,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/181,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Mayo Medical Laboratoy,,Eastern,,,,,,,,,,16598,,,Private Medical Enterprise,Medical Clinic - Other,,,
Municipality,Kaaga,N,,Meru,Operational,NORTH IMENTI,,,,60200,Y,,Y,Meru,N,N,,N,Y,N,Miriga Mieru West,N,Imenti North,N,,Meru Childrens Clinic,0,Eastern,,N,N,N,N,N,N,N,0,12515,N,N,Kenya Episcopal Conference-Catholic Secretariat,Medical Clinic - Other,N,,
,,,B11/71,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Meru Clinic ,,Eastern,,,,,,,,,,16599,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/66,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Meru Consultants,,Eastern,,,,,,,,,,16600,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/66,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Meru Consultants Laboratory ,,Eastern,,,,,,,,,,16601,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/80,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Meru Dental Services,,Eastern,,,,,,,,,,16602,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/150,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Meru Diagnostic Laboratory Services,,Eastern,,,,,,,,,,16603,,,Private Medical Enterprise,Medical Clinic - Other,,,
,,,B11/250,Meru,Operational,NORTH IMENTI,,,,,,,,,,,,,,,Miriga Mieru West,,Imenti North,,,Meru Dignostic / Laboratory services,,Eastern,,,,,,,,,,16604,,,Private Medical Enterprise,Medical Clinic - Other,,,
